,tweet,class
16029, kingcurtisjayy ugly hoes love to fight lmao they ain t got none to lose ,1
10805,i only bring up lat name to the hoes i know with kids because they need to know,1
19710, monogrammedprep god is a yankees fan farewellcaptain,2
15065, drummerkid them shits was dry as a bitch had to ask for water and shit ,1
13361,niggas wonder why bitches be on that fucc a nigga shit cuz these niggas be on that she just another bitch shit ,1
6461, kieffer jason meet up then and stop hitching out and back your words up pussy,1
11697,if youu let yo bitch leave with another niggah and don t say shit thats on youu ,1
7296, woahrach thanks bitch,1
12172,just touch down in jamaica tryna smoke two acres send a nigguh to his makerr,1
14861, dfkinlopes mcdonald employees always rolling their eyes when you pay with coins like bitch you broke af too fuck you giving me attitud ,1
22835,whole time your bitch on the phone moaning in me and my bitch ear though ,1
2577, bengybenfrank niggah follow me back ,1
19463, kpips forever nobody want no pussy other niggas done had before,1
14200, anointed mouf would be so happy so many bitches would be humbled djdmt how would you feel if they discontinued the sale of weave ,1
11838,ion like the ho cause she talk to mf much with ha real butt ugly ass dumb young ass ho ,1
16321, lyssaboo you local ass bitch,1
2392, aleeed bitch who do u love,1
17608, thatboyace vonte not tweeting like a bitch finally,1
18777, cocainebungy mckean mckean lol hate half the people there lol weird ass hoes lol corny ass food i still kill that shit doe ,1
14524, buckm se wildblood i seen what you look like not impressed dont talk shit you dirt looking bitch,1
14892, damcgrizzlybear the ghetto if ud wins tonight t co pkzmkn wko,2
3408, huffingtonpost im american don t give shits about the beaners ship them beaners back,0
15858, jonnyfootbali fuck bitches get touchdowns ,1
7553,alex smith such a got damn bitch man,1
5041, trippy spiffy ayyyyyyeeeeee my nigga back in the bitch,1
14099, a mitchellll my bestfriend got jumped by like dudes n ur upset u have to pay fines gtfo bitch,1
2992, debsflpx i was lucky to be sensible and i ve never had a fag or a drug i m pleased about that statistic yes i have a beer but that s all ,1
566, they faggots jonniesantana orioles petty as fuck got swept up outta this bitch ,1
15405, hbcufessions i got some bomb dick from a alpha a q kappas a iota amp two professors all in the same month im not a hoe i just say ,1
23315,you got hoes really out there titty twerkin s t co cc gu e o,1
10100,i can just set that hoe on fire ,1
21207,stupid hoe is so wack ,1
12505,lmao this bitch ,1
13804,people who play fantasygames are white trash,1
11603,if we get any trick of treaters i will be giving out android advice so stop on in faggots,1
6470, kieffer jason pussy,1
17564, taste sweettay this bitch just blew my high ,1
2966, danny cavanagh available online soon i didn t have enough to get it after my anathema merch it s a cracker i need it can u ,2
7098, summerdawn lol you being a cunt,1
20519,repeat after me where my bitches ,1
5694, carpedehope not if you re standing in btw the yellow lines,2
7396, zlyouell spongebobvlnes dyke ron ,1
2381, adrian knowsu nigglet ,1
13208,naw bitch you goin against a monster lol lyrical maniac,1
17627, theafricansiren automatically suspicious of white folk who try too hard to show they like us darkies ,0
7272, wclemons thejoelberggren anthonycumia you little fag at least i will fuck a woman to have kids plus work to support them hipster homo,0
24519,the niggas on twitter like i eat pussy and yada yada is the niggas with sti s and shit,1
1340, jergucci dev you the real mvp that s wat ya bitch said when i finished ,1
17711, therealhoneymoe i don t care about bitches hoes be into it with they damn self ,1
20006, sheemteam fuck the islamic state we will kill those cunts ,0
18024, watdafckyoumean can t give these hoes a inch cuz they ll try to take mile,1
4513, reed my nigga know he a bitch,1
10481,i hate those kids in your class that are always complaining and just being a bitch douche to the teacher,1
18707, butter obama i love when nickiminaj say bitch i m me ,1
21840,these nigs like saying they miss the old vice,1
10057,i be waiting for a bitch to sneak diss i m ing idc ,1
5790, dabbba pinchehonkey far as i can tell coon tracks on the cab door window tractor was parked by some trees away from home,2
18609, babyyhogg ayy fag you still having your party tonight weidie ,1
7814,arturo keeps calling me ghetto ,1
15314, goldbonequeen stevie j turned a hoe into a housewife and nikko turned a housewife into a hoe i swear this shit can happen,1
11798,in life you must ask yourself are you a chosen one or a basic bitch letsbereal,1
20460,rack city bitch ,1
16328, ma otl luv n hip hop checks drying up bitches turning to insurance scams t co jrjthv t ,1
15479, hi slick bitch you better play w this d i i i i i i i i i i c k,1
7698,am so high that birds and planes are my peers,2
9384,gave a homeless guy a couple bucks today and didn t even say thank you just walked away ha okay ungreatful son of a bitch ,1
20066, steph dcx fucking nosey ass bitch i swear lol,1
17544, tacorell this show should be called side bitches i ain t seen love yet,1
1960, yungtfti i feel sorry for anyone who paid for lic because edc is trash music ,2
5499, alicianotalisha idk i went to to the school like a week ago and the bitch gave me a paper and shit telling me my classes paid for and,1
9259,fuck is yaw sayin bitch my hood love me ,1
22410,val is such a bitch,1
14909, dalilaaaaaa flappy birds cheat codes t co nu gjyqdjj,2
20202, toddknife full weakenednachos set except the last song from southern darkness fest last month who s the ape on guitar s t c ,2
23730,ctfuu bitch tried getting tough with me then ran inside to get her husband hahaha,1
2157, rubs hands like bird man,2
6665, megynkelly i don t understand the need for multiple autopsies i guess they re going to keep on until they can slant against the officer,2
18082, women fit use what talent you possess the woods would be very silent if no birds sang except those that sang best ,2
23192,yo fuck the pats they are still bitches,1
21399,that hoe out there fat trel said it best ,1
1368, laneishaaaa thompson era pretty boy face awee thanks faggot,1
18487, prettygirl bitches jus love to get me madd,1
739,myunpopularopinion spanish bitches suck dick by and have babies by because they re already fine and dressing slutty ,1
22544,webbie to retarded,1
2490, astroscounty jeff luhnow is to blame for the astros not blowing out the red sox and yankees hc,2
22419,video charlie baker campaign team denies contacting gov patrick for meeting t co qhra oalrr,2
22809,who is that pink hat guy cody caleb either way he is a over emotional bitch bb ,1
20763,she think she bad but my bitch meaner,1
18554, amazingatheist america is like a drunken redneck flailing his fists around raving incoherently he s kind of funny but also you r ,1
3665, jjloveup tranny,2
20215, tracksideonline there will be track sweeping during this yellow ,2
18075, wilnerness jmart because outman is a brand new yankees and because girardi will never use relievers when he can use ,2
20568,russel martin had a miserable season but is quietly having a good september yankees bluejays mlb,2
16555, murdershe smoke c leigh how ghetto girls pronounce there names i could cry right now oh my god s t co zycuodiwkz ,1
10290,i feel like that niggah pac these bitches set me up ,1
16909, plmpcess im so fucking done with sprint i fucking hate you guys and your insurance policy is trash and omg square the fuck up,1
9258,fuck is yall sayin bitch ma h d love me ,1
1161, cristian dior joshraggs wedont smokereg cristian dior you tweaking rich homie is trash you damn near still listen to lil b wow ,1
283, yankees down yankees look to rally in the bottom of the th rallycap,2
1260, funnypicsdepot fucking white people t co uyjgzux cc bitch wut ,0
14415, blackkhippiee white girls date black guys who hate black culture and they let their stupid ass white girlfriends talk shit and say nig ,1
14918, damnitcorn this bitch does so begrudgingly as fuck was like man up you a big bad man crying like a bitch ,1
14209, antzinherpantz this what y all hoes want s t co tagjue mr ,1
9750,he was talking about i m on one lol how was that even possible when i was on a cruise ship with no phone service negro ,1
6476, kieffer jason u feel like dumb ass don t u pussy boy,1
2283, percent of the trash we dump in the sea is missing this is not a good thing t co cwc lwcv t t co y kt hlm ,2
18661, binniemouse whatsashirt lmao i have morals negro unlike you,1
17734, thevoiceofmiami i don t work for pussy the code of a real man,1
27, i met that pussy on ocean dr i gave that pussy a pill ,1
23056,ymcmb always get caught up with strippers tyga actually had a child with one niggas get rich a buy bitches,1
3343, hansolosson bruh really rocking a toaster on his face lmaoooo he prolly got bitches too man ,1
14570, candy n vodka not every nigga is pressed for pussy specially yours ,1
15792, jenetteeem choke on this bitch d,1
11460,idc about none of these bitches ,1
16810, onionsports yankees unveil beautiful derek jeter cage in monument park t co vv urct jd t co gwbnhdyhml,2
12725,man i m tired of dealing with these hoes but my dick not,1
5848, dexfrost you can be a bad bitch too dex its okay,1
14704, cityboicoop rojustdgaf damn it bobbybudnic tittyslapme once or twice is cool but damn bitch t co wtdcshx ,1
202, nochillpaz at least i m not a nigger t co rgja cfoit lmfao,0
18003, wbeezy these bitches so phoney ,1
23630,bitch idc if you like me but you will respect me,1
399, stephencdo currieburry if one of you bitches want some of my burrito u can catch me at potosino huh haha,1
24312,old fellas water froze in that funeral home he got it unthawed and wants me to help get his pump going again that place spooks me man boo,2
14591, cancerous kevin timrosscomedy michael craig i feel like tim ross is a nigger,0
7593,all my hoes got money she in the mall she ballin bitch buy something for me,1
12317,late night phone convos with my hoomie that nigga a gook,0
17295, sheswantsthed trying so hard to resist the urge to smack a bitch t co cvnlm i ls,1
18440, deemarieeeee nomatter how much i m feeling you u can t compete with girls who throw the pussy im just gonna always take the l,1
3013, derringereagle ur moms pussy died a slow death so well have good company virgin,1
18183, youcanhaveher you either gay or straight don t talk to me bitch please ,1
17449, stfu nobodycare bird fucking ,1
20358, xdsmooth free my niggah bookieg,1
15416, hg shit bookieg i just fucked yo bitch bruh i tried not to tho,1
17918, uncleruckus bd somewhere in the ghetto it s a nigger getting shot over bbq,1
10857,i rescued a baby bird t co ad yy cuqt,2
8870,dude i work with is so pussy ,1
1760, eternalhbic halfjewish stills get no pussy t co uowecbuqo he s jus being rational a fag,1
15910, killsheredon i can t handle no liquor but these bitches can t handle me ,1
8626,damn hoe you so ugly even hello kitty said goodbye ,0
18379, junebugg that hoe is live though,1
359, likemicah y all dumb ass niggas be so pressed to have hoes y all weak as fuck as fuck weed over hoes oreos too ,1
24730,ya girl pussy is trash as fuck ,1
4040, marlon n gaines i am brown while you are black and ignorant your stupidity makes me sick typical thug looking nigger ,1
19368, jm wags well i play flappy bird now and i don t know why,2
18503, wintergirl i don t wanna hear sgt tahmooressi s name come outta the preezy s mouth he couldn t be bothered then keep his pie ho ,2
13536,oh hell yeah lol sedsince vonshayeb you know that nicca injury prone,1
8014,big red and fat squaw lol my hubby is so funny insidejoke,2
9378,gansitos are atg beaner candy,1
3781, keitholbermann i feel the same way about the bigotry and racism of using the word redskins ,2
16900, pinche adina staywavybruh these hoes getting pregnant just to put some shit like shaqualidaemommy barackeishamommy in they ig bio ,1
14536, budahound been popping all my life what s fame me bitches been stalking all my life bitches ain t a thang me,1
11946,it s hard being a real nigga when these niggas got bitch tendencies,1
24153,lil spook and yung lean and robb all night,2
15602, ih lightskins only a black man can make you feel inferior to a hoe with a gpa and no future simply because she has a fat ass and ,1
7926,bad bitches only t co ceyb b rf ,1
20584,s o to the homie blakkhoodie niggah stay making bomb food when we high af,1
13970,republicans take massachusetts governorship coakley conceds gov race to charlie baker t co unfdqcqhyk,2
21059,somebody tell these nigggas i ma keep fuckin they hoes i ma keep rockin these shows,1
17163, skinny niggadoe hoodrichkeem leave the bitching to the bitches ,1
18893, dixiealley tonyjrodriguez wolfvanhalen not a fob fan nor in the know but fuck you fatty is a poor argument for anything after th ,1
1247, fabianmleal i m fucking tired ending the night with some rips so much for hitting me up bitch,1
20039, sofancyy a hoe gone be a hoe ,1
4387, param nster you and me having twitter bird shaped pancakes that would just be a start,2
6462, kieffer jason mfka what ok bitch we going to see your a funny mother fucker,1
13683,only niggah on my tl so getting off now,1
10094,i can fuck yo bitch and you can t,1
3910, lessonswithkate i m jst fckn w you i ve always wanted to jigg hella good too we jst not wild enough to be in the circle cuz ,1
5574, baaaabyshaaaay my niggah ,1
23927,hoes even stupider,1
16297, luaboo uce ina hazel e looks like a bird her and kaep prolly related by nose and shit thats why berg wont ever make her dat bit ,1
3366, hendrixoxo bitch why did you not fav or retweet this,1
15945, kalikushdoll lol foreal yo damiah daddyx lmao i fucks with havemercyyy amp kalikushdoll real talk them bitches know h ,1
3125, englishbrit sounds like a good idea but i want my word to be spread jews niggers and commies alike ,0
9558,gotta keep the sox down while they re down redsox yankees mlb,2
8427,charlie kimball i had nowhere to go t co x gyz kot indycar mavtv ,2
24085,inb you unfunny nigger kill yourself,0
7008, sellis nickehlers coryritter oohill farmersims agronomist once told me beans are a bitch they do whatever they want ,1
13123,my partna from mississippi told me weeks ago i got weeks to fuck all these ok hoes i m stepping my game up ,1
2893, coolstoryisaac thisty hoe,1
18345, tatyanashells he like me even more cuz he know i gotta bitch,1
20438, zachthorpe where are all the thinkpieces on why kids call themselves trash and garbage these days,2
21002,so are the olympics over in brazil yet or what i mean yay sports what stop looking at me like what are you queer goredskins ,1
12958,my bad dawg that s yo hoe ,1
6609, lybr and yes that was very ghetto and condescending especially after her miserably failed crappy school lunch initiative the hypocrite,1
6548, laser beam text me fag,1
19427, kevnasto i would rather fuck a fat chick than allow a nigger into my house ,0
15091, ewerickson to recap dem governor candidate in sc calls the gop candidate a whore tx dem gov candidate mocks the gop candidate s di ,1
21186,strong jaw ass bitch,1
7551,alcohol drunk hoe mr rude i miss ,1
11223,i m about to jog higher this stupid bitch ass hoe mf saab t jawad ,1
19704, mmpfeii fuck your gpa bitch im a lot smarter than you,1
14258, baltsneakershow water is wet sole nike dc is trash ,0
12291,lol at the benghazi hearings that proved nothing other than republicans only care about taking down pbo foxnews teabaggers,2
22979,work be having a bitch enervated and shit ,1
19610, mackgotti smco all my hoes stay mad at me i keep em hot guess they got a fever ,1
3926, liltunechi reason for why he only rap about pussy what am i supposed to talk about smh how bout you make music that ain t negative ,1
10842,i really wanna have a talk about life with the fuck her right in the pussy dude while smokin a blunt before i die,1
4370, pcmag overpriced complete trash not even debatable ,2
1085, ac hussle of women were sluts freshman year of college let these hoes be great,1
21473,thats my bitch when i feel like it ,1
23492,your bitch is a fake sack of potatoes,1
16933, positivital somewhere between i need therapy and bitch im fine ,1
24228,my dad s a fuckin dick bitch i made your ass supper you re not allowed to come home mad,1
9379,gary s girl was a tranny em car i wonder what would have become of rickspringfield if he d written gary s girl ,2
11754,im sorry i use to be on that shit but im not worried about the next bitch unbothered threatenwho,1
15851, johnydeep tolife bitch nigga lol,1
6651, mbxvss we don t trust these hoes lol na but it s bigger for us i think bc most guys talk to girls first if you understand,1
13566,ohkay ma texas bitch keep textin me callin cryin stressin me bout where i been but i ve been with another bitch allegedly ,1
23035,y all hoes don t need a valentine y all need jesus,1
13811,permanent slit in my eyebrow from when i tumbled down the bleachers when i was little i stayed in the er,2
6924, richarddeitsch yeahbut the cripple not getting up clean helped the call out wouldn t have been fair either way,2
12342,leg day made me it s bitch ,1
20277, versacecum bitches be like but still be in everybody s business,1
14172, amberrrnicollle you tweet about how you re never good enough for a guy maybe it s because you re a hoe,1
18938, dxpperjay you assholes know that referring to a girl as bitch doesn t make your dick any bigger right ,0
13163,mykel stay wit all the bad bitches ,1
4242, naomidanielson that s like what some trailer trash chick would name their cat ,1
2984, davethebrave perfect smoking weather haha bro i ain t even in my hood yet and i already got hoes trying to say was up from other towns,1
9411,get your nasty ass out of my snapchat bitch,1
15925, kingtunchi lol that same bitch i was cool with was was down to sit me up in get me kill in get on twitter in talk about it ,1
17373, sortabad a boy won the scripps spelling bee by spelling knaidel used in a sentence i ll never get any pussy because i know how to ,1
12577,lol i make hoes madd hahhaha no fakingg ,1
22522,we got gin mad blunts and bitches sucking dick,1
66, allaboutmanfeet t co gzupfumev woof woof and hot soles,2
1973, best asian massage on the park slope top rated spa t co br el zxrw,2
2813, cesar k garcia text me niggah ,1
18435, chocgirl rich homie and bird man gone be at mansion lan tonight ,2
12956,my baby boy asleep with my monkey that i had since i was little i love my son so much t co iosarfs ro,2
8975,every character on thesimpsons is trash and they re trash on purpose if you don t get that you don t get the joke ,2
16427, menshumor monday what s up you ugly bitch ,1
9261,fuck ms patrick that bitch can t teach for shit,1
17097, ricknothing i love how twat is gender neutral ,1
2010, lt lt lt when it s yellow outside,2
12288,lmaoooo whoelsebutkey nobetternoworst no shade taken it s swahili for ho and like den suaw lol ,1
3813, kevinthegee finished the essay and the quiz bitch,1
21843,these people are fags ,0
20298, w lliam whackko y all boyz was fried fuck dat pussy nigga in the blue doe,1
12044,jealous bitches smh,1
11619,if you ain t sucking dick why you sitting there with puckered lips that s collagen muhfuckin bitch,1
9891,horny japanese milf showers and toys her soaking wet pussy t co hrkgfyuk ,1
428, brownies for my brownie i love this movie ,2
20435, zachbooty building a dresser really makes me crave an ice cold glass of pussy am i right dudes,1
23295,you drink light beer hahahahahahahahahahaha what a pussy ,1
17247, sexualtruth eating your womans pussy is good for the soul ,1
15579, i dontkiara it ain t nothing to that bitch off ,1
3513, inkedup tiny still should ve walked over and said something pussy,1
4684, sharpayydoll cunt nigger fuck balls tits cocksucker piss dick kike if you can t take swearing don t go on the god damn internet ,1
1855, miilkkk on a scale of this bitch is literally a t co a rmyfnus hahaha,1
11095,i wish bitches would be straight up wit their friends and tell em they look ugly when they really do and not say they cute smh,1
8822,don t tell me ryan tannehill s better than dogshit alex smith s trash ass too fuck ,1
7487,about all u can expect from a nicca that can barely talk lmao spacejam teeg vonshayeb dude can t spell worth shit yo lol,1
7673,almost got in a fight with a southwest faggot at the carnival lol,1
24462,sprayed da vee wit peppermint oil hopefully dat fuckin spider leaves or dies i hope dat bitch dying slow right now,1
9014,everyone up north is getting pregnant i m glad my bitch ass moved down here,1
20349, wwwobert new avi thanks to b oreo,2
1065, you a little genius man i need you for a class so u can help a nig out but you cool af man,1
14610, causewereguys dumb bitch lol t co zbuo zoj e,1
11437,i ve got a birds eye view of all the secrets you keep ,2
14456, braceface tay tell them bitches i ll always be your mrs ,1
8314,can my school please fuckin remove these random ass trash cans in the middle of the hallway that i always fuckin run into,1
10786,i need me a real loyal ass bitch ,1
15679, itssongoku bruh chichi go months to years without seeing me and she still the bae you basic ass bitches can t go missed calls with ,1
4311, o millz this bitch not tellin me,1
11509,if i were a kid today michelle obama s lunch would wind up in the trash can,2
3445, icbc world freeblizz icbc bitch bought her son some talking bout i had to get em before they sold out,1
11993,it s winter up this bitch t co kyyckry qk,1
15282, funnypicsdepot he really put side bitch contract t co koktvopvp ,1
20392, y llab lla the streets ain t going no where these hoes for everybody when you got someone real you hold on to them ,1
4484, rainaluvsa intimidated what pussies all i see is a sweet honest woman but seriously you could make this stalking thing so much easier ,1
20308, weakenednachos last thought before bed in we had a mock election in rd grade and i voted for perot maybe i related to his rea ,2
19659, meldigio y all look fucking retarded with y alls pants down to your ankles ,1
6023, giantsniners he s the definition of little squirrelly bitch,1
13530,oh soni a i hope dre falls dickhole first into my pussy ,1
288, zoebarton h rheyd ewww i said that last sunday as in the last sunday i was there read it again nigs ,1
6566, lexhound discordianslip pest nah they would probably call you out for being the obsessed faggot you are also nice try though ,1
9941,how you just gon start some mess and try to break up that man home for racks i ll kill that hoe for breezy fam ,1
20119, th j t r prime suspect of foley murder is y o british jihadi who wait for it declared his allegiance to anonymous t ,2
23204,yo this niggah catch every tweet lls oh my goodness,1
11893,it happens again black pack beats whitey this should make national news t co izkoa xb,0
9359,gm don t be the bird that didn t get the worm today gostampsgo ,2
16007, kid flexin wedont smokereg lol thats grwn man shit nd bitches b loven it ,1
10172,i did everything but trust these hoes ,1
4104, mightyy i don t fw that nigga he pussy,1
20132, theroyallife ha ha real name is ha sean where y all get these ghetto ass names from ,1
18208, yungretweet versharky bitch,1
941, mr quenchyagirl a lotta fck niggas on this here twitter really be talking like bitches ,1
8806,don t let the power of the dollar turn you into a hoe ,1
16137, lameassnerd braxton curti a hoe ass nigga and wen i see him i ma smack him like da lil bitch he is ,1
3869, l ltr p fucking losers wetbacks sorrynotsorry,0
18399, al ky ynf troypanamera brandon jennings easily got the coldest bitch ever damn near lol not damn near that s fact ,1
13195,nah we still up tweets nochill all the flat booty bitches asleep yet or nah ,1
21900,think it s okay to take my property and break it fuck you bitch,0
24037,if a bitch don t like me somethin wrong wit da bitch,1
3045, djlouis at my club ho ,1
18819, cyberbullouing i fought little bitch ass yr olds over a month ago for those t co rasgyut pj,1
10545,i haven t been called ugly once my whole life tho ayylmaoanod guys who refer to women as bitches are so ugly to me lmao u disgust me,1
13528,offensively joe johnson just as good as lebron if not better don t me pussies,1
14354, bestofworldstar charlie sheen did the ice bucket challenge the right way t co ijs b vtoy,2
23105,yas bitches t co yey ml snk,1
19559, littlechelleeee hos will literally do anything to say they got a nigga dawg ,1
784,that son of a bitch moment when you turn the radio on and your favorite song is on but its the end of the song,1
12201,karma is the worst bitch remember that,1
9804,hey if i stir a spider rockstar and monster together and chug it would i definitely be hospitalized or just maybe asking for a friend,2
8981,every nigga can make a female act like a bitch thatsafact,1
4716, slowdollaz photoshop my nig,1
9465,god you re a faggot if you dont think superman is the best superhero,1
860,pornandroidiphoneipadsexxxx anal hardcore british queer anal pounding t co lrueixmy ,1
11740,im n a tight circle bitch you can t get thru dis loop,1
17294, sheswantsthed these hoes ain t loyal t co xrobdfztk,1
10488,i hate when a bitch got fucked up teeth and she trynna smile in her pictures tf lmfao,1
19816, paigelebeau it s unfortunate that everyone thinks i m a bitch before they even meet me chronicbitchface sorryimscary ,1
2918, cuckoldcock molotovhowdy i likes yo page i wants to make da lovin to a white girl wit a colored man watchin and pullin his weenis,1
11321,i m making pollo a la brasso today,2
5215, yeahhhmans way to take orders like a little bitch bitch,1
14293, ballout stblocjeremiah my tryna make me go to church tommrow he ll nawl dude bitch text me back,1
20248, tupactopus need a bad bitch who knows how treat a pokemon master right,1
22738,when the pussy stank mariekiebarone t co x livg b q,1
24080,imma hit the ground work in the pussy she gone come back everytime,1
22684,when all else fails blast bare nips,2
11959,it s my mans weaselfbaby birthday all the big booty bitches show him some love t co xddlyr apq,1
7931,bad lil short fine bitch lil petite sumn,1
19316, jakemoneyzz leavin no hope for these hoes,1
15418, hg shit bookieg them klutzy bitches,1
18123, yaboylilb teacher eyes on your own paper me bitch i only have eyes for da paper throws cash everywhere ,1
12347,let a bitch be a bitch n a hoe be a hoe ,1
9232,fuck all that huggin and kisses i fuck all they bitches,1
17187, salomaesadiqa it s because you can t bend me you can t buy me and you can t make me into your nigger farrakhan thetime,0
772,shoutout to my exit niccas realniccasalute,1
5012, toddirwin nfl forgetabout they got until february it s the pennant race let s go yanks ,2
12411,like buddha gives a shit about obama or some other fuckin nazi fuck socialist retard with a fuckin iphone don t make me laugh gt ,1
19513, liidurk dese hoes be ugly af talking bout if i wanted yo boyfriend i could have him bitch you look like a boyfriend ,1
18576, antijokeapple mom i ve had it i m dropping out excuse me i m done with fake bitches the hw all of it done ur in nd grad ,1
14403, bitesblog pat martin is gonna show some yankees a thing or two at the james beard house tonight t co crwy x eq,2
4727, softestmuffin tee torahblaze in other words you are accustomed to niggers so muchyour almighty one can be next to u but yo nigger,1
11184,i ll stop drugs alcohol fags sluts for you just give me a chance it s been a year and i feel the same that clearly means something ,1
10889,i slam duunkk hoes cuz i can t lay up,1
7131, tcthegreat it s yo fault taking a nig out everyday,1
2566, beanrozay im tokyo but i get higher than a jet killing these dog ass hoes had to send em to the vet produced by tnkthemonstah,1
7473,a white lighter is bad luck not yellow ur stupid,2
892,pornandroidiphoneipadsexxxx korean korean girlfriend pussy t co od mquudnn,1
23382,you need a nicca like me to bring that freak outta you,1
7831,ask a bitch in if she would rather have jesus than silver amp gold i bet u she tell a lie ,1
5516, americ n joeylattime christian keep laughing and me and him will fuck u up instead pussy bitch,1
19385, judiebaby vnxthny attention keshonna alexander had the best pussy in the world taste good asf ,1
19973, sassytbh a girl tweeted you might be ghetto if u bring food from outside into the movies no u might be stupid if u pay for a b ,2
19512, lexxxilove i wake up in the middle of the night and chug the orange juice straight from the bottle sorry mom ,2
9207,from that point should saw how i treated that bitch fucked her now lose my number i ain t answering shit,1
696,degenerateartist knows words gt bo jingo dangle fan slang ho ting pang lick drum swing flick alarm bic gt but you can t hear fire can you ,1
3264, girlthatsvonte i wont ima come piss in yours bitch,1
7028, shmapplemen haha yeah it s just gonna be a bitch going btw there and illinois on leave mannn i m stoked they are tho,1
7429,a girl who getting it in school and work i applaud you y all the real bitches y all doing what you do and doing it well ,1
18927, druggedvibes top thot tattoos dream catchers bird feathers inspirational quotes that they dont live by animal p ,2
6993, schola gomes oh i ll make you some brownies alright ,2
4245, nasshrodriguez linndaroose always down patty never been a pussy ,1
18258, bucketsmcnasty iz no point in being jealous cuz dee hoes for everybody bucketsproverbs,1
